번호,상위질문번호,카테고리,키워드,질문,답변,상위질문사용가능
1,NULL,Database,sequence,오라클 시퀀스(Oracle Sequence) 는 무엇인가요?,UNIQUE한 값을 생성해주는 오라클 객체. 시퀀스를 생성하면 PK와 같이 순차적으로 증가하는 컬럼을 자동 생성할 수 있다.,TRUE
2,1,Database,sequence,오라클 시퀀스를 생성할 때 START WITH와 INCREMENT BY 옵션은 각각 어떤 역할을 하나요?,"START WITH는 시퀀스가 처음으로 생성될 때 시작할 숫자를 지정합니다.
INCREMENT BY는 시퀀스가 다음 값을 생성할 때 얼마만큼 증가(또는 감소)할지를 정합니다.",TRUE
3,2,Database,sequence,시퀀스로 생성한 값이 너무 커져서 특정 범위를 초과했을 때는 어떻게 처리해야 하나요?,"시퀀스를 생성할 때 MAXVALUE 또는 CYCLE 옵션 등을 설정할 수 있습니다.
MAXVALUE를 넘으면 더 이상 값을 생성하지 못하도록 막거나(NOCYCLE)
CYCLE을 설정하여 최대값에 도달하면 다시 최소값으로 되돌려 재사용하게 할 수도 있습니다.",TRUE
4,NULL,Database,DBMS,DBMS란?,데이터베이스 관리 시스템. 다수의 사용자가 데이터베이스 내의 데이터를 접근할 수 있도록 설계된 시스템,TRUE
5,4,Database,DBMS,DBMS가 없을 때 발생할 수 있는 문제점은 무엇인가요?,"파일 시스템으로만 데이터를 관리할 경우, 데이터 중복과 일관성 문제 발생
데이터를 효율적으로 검색, 보안, 동시성 제어 등을 처리하기 어려움
규모가 커질수록 유지보수 비용이 급격히 증가",TRUE
6,5,Database,DBMS,DBMS를 도입하면 보안 측면에서 어떤 이점이 있을까요?,"사용자별로 접근 권한을 세분화하여 설정할 수 있어, 특정 테이블 또는 컬럼 단위의 접근 제한 가능
트랜잭션 로그, 감사 추적(audit) 등을 통해 누가 언제 어떤 데이터를 수정했는지 기록 가능
암호화, 백업 등 보안 및 안정성에 필요한 다양한 기능을 제공",TRUE
7,NULL,Database,DBMS,DBMS의 기능은?,"정의 기능(DDL) : CREATE, ALTER, DROP, RENAME
조작 기능(DML) : SELECT, INSERT, UPDATE, DELETE
제어 기능(DCL) : GRANT, REVOKE",TRUE
8,7,Database,DBMS,DDL에서 사용하는 TRUNCATE 명령어와 DELETE 명령어는 어떤 차이가 있나요?,"TRUNCATE: 테이블의 모든 데이터를 빠르게 삭제하고, 테이블 구조는 남겨둡니다. (롤백이 불가능)
DELETE: DML 명령어로서, 조건에 따라 레코드를 선택 삭제할 수 있고, 트랜잭션 롤백도 가능합니다.",FALSE
9,8,Database,DBMS,DCL을 활용해 여러 사용자에게 권한을 부여할 때 주의해야 할 점은 무엇인가요?,"권한을 과도하게 부여하면 보안 문제가 생길 수 있으므로, 최소 권한 원칙(Principle of Least Privilege)을 지켜야 합니다.
권한을 철회할 때는 종속된 객체나 다른 사용자 권한까지 확인해야 예기치 못한 오류를 방지할 수 있습니다.",FALSE
10,NULL,Database,DBMS,UML이란?,프로그램 설계를 표현하기 위해 사용하는 그림으로 된 표기법. 복잡한 시스템을 이해하고 의사소통하기 위해 만들어짐,TRUE
